gene_id;baseMean;log2FoldChange;lfcSE;stat;pvalue;padj;gene_name;product;significance
AENJPLPP_01491;12426.8794211361;-2.76270529882185;0.0702714998040075;-39.3147336619716;0;0;rpsZ;30S ribosomal protein S14 type Z;Down in serum
AENJPLPP_01493;25858.1557315664;-2.35170534530062;0.052430165104252;-44.8540518730867;0;0;rplF;50S ribosomal protein L6;Down in serum
AENJPLPP_01494;24358.9804938714;-2.64526734144302;0.0587541183178882;-45.022671042919;0;0;rplR;50S ribosomal protein L18;Down in serum
AENJPLPP_01495;33765.9853864539;-2.50531320916443;0.058878957600006;-42.5502303587687;0;0;rpsE;30S ribosomal protein S5;Down in serum
AENJPLPP_01496;7187.24090791228;-2.63654828854456;0.0578014520498866;-45.6138763827081;0;0;rpmD;50S ribosomal protein L30;Down in serum
AENJPLPP_01498;83721.3524966929;-2.74234630473072;0.0573422488688546;-47.824184764756;0;0;secY;Protein translocase subunit SecY;Down in serum
AENJPLPP_01499;25899.4230305217;-2.96330230075281;0.0550952221745241;-53.7851048384199;0;0;adk;Adenylate kinase;Down in serum
AENJPLPP_01502;15981.3391415787;-2.35107359797039;0.053491711839255;-43.9521099088298;0;0;rpsM;30S ribosomal protein S13;Down in serum
AENJPLPP_01503;13014.5972954827;-2.56753271901591;0.062574479402398;-41.031627326931;0;0;rpsK;30S ribosomal protein S11;Down in serum
AENJPLPP_01505;56887.0449851071;-2.29710051058616;0.0575673319916059;-39.9028482146977;0;0;rplQ;50S ribosomal protein L17;Down in serum
AENJPLPP_01530;31746.2340487192;2.12397948158522;0.0533902582748833;39.7821540897923;0;0;;hypothetical protein;Up in serum
AENJPLPP_01537;2456.87663504035;6.13015740821561;0.116010000893737;52.841628833627;0;0;yclN;Petrobactin import system permease protein YclN;Up in serum
AENJPLPP_01538;4793.99748969456;5.9605472930694;0.100770626752314;59.149649904629;0;0;yclO;Petrobactin import system permease protein YclO;Up in serum
AENJPLPP_01539;3025.59149640561;5.54149657398675;0.10286881908516;53.8695459252739;0;0;yclP;Petrobactin import ATP-binding protein YclP;Up in serum
AENJPLPP_01540;9798.15855981149;6.00419824170973;0.0878331124090004;68.3591652058372;0;0;yclQ;Petrobactin-binding protein YclQ;Up in serum
AENJPLPP_01558;15385.0180419088;5.95033649621298;0.0748253128412141;79.5230420063878;0;0;bioY2;Biotin transporter BioY2;Up in serum
AENJPLPP_01577;8052.0990796094;2.54381428138783;0.0576746538924138;44.106277362896;0;0;brnQ_1;Branched-chain amino acid transport system 2 carrier protein;Up in serum
AENJPLPP_01633;53052.3604084477;5.07494051610812;0.0638338443550989;79.5023481255011;0;0;adhE;Aldehyde-alcohol dehydrogenase;Up in serum
AENJPLPP_01761;5236.18086082602;-4.79554616173879;0.0720391842197199;-66.5685794985178;0;0;;hypothetical protein;Down in serum
AENJPLPP_01762;1782.5941639354;-4.16880501392779;0.0908257168093861;-45.8989497729676;0;0;gadC_2;putative glutamate/gamma-aminobutyrate antiporter;Down in serum
AENJPLPP_01779;1583.10063723725;-3.39328037448562;0.0833707327188277;-40.7010981411144;0;0;;hypothetical protein;Down in serum
AENJPLPP_01807;2736.57035649946;-2.76199650146853;0.0684348794547363;-40.3594851554514;0;0;treA;Trehalose-6-phosphate hydrolase;Down in serum
AENJPLPP_01818;1438.1591720981;3.54447020385387;0.0895047336527763;39.6009245455582;0;0;spxA_4;Regulatory protein Spx;Up in serum
AENJPLPP_01825;3674.39998846783;3.51111929584556;0.077844016119287;45.1045497249933;0;0;lysA;Diaminopimelate decarboxylase;Up in serum
AENJPLPP_01826;2748.38823376523;3.20007723115045;0.0753848565471027;42.4498682855614;0;0;dapF;Diaminopimelate epimerase;Up in serum
AENJPLPP_01862;1955.3305839464;4.21266719247255;0.0972641714720712;43.3116031187516;0;0;rclA;putative pyridine nucleotide-disulfide oxidoreductase RclA;Up in serum
AENJPLPP_01863;1507.5140447819;4.32570685460852;0.103498432653327;41.7949020454994;0;0;;hypothetical protein;Up in serum
AENJPLPP_01903;1414.95895019703;4.84056552479582;0.108597904521816;44.5732866219661;0;0;arcD1_1;Arginine/ornithine antiporter ArcD1;Up in serum
AENJPLPP_01904;1824.9539835719;4.96348551471389;0.105680206627169;46.9670307536836;0;0;vioD;Capreomycidine synthase;Up in serum
AENJPLPP_01942;8211.75510045426;-2.63694725116466;0.0625163639285132;-42.1801123011565;0;0;prsA_3;Foldase protein PrsA;Down in serum
AENJPLPP_01961;1870.48930845995;-4.92548982419403;0.106310824380796;-46.3310284054552;0;0;yvdD;LOG family protein YvdD;Down in serum
AENJPLPP_01962;2609.79808705723;-4.20465221943107;0.0789073304249912;-53.285951974107;0;0;;hypothetical protein;Down in serum
AENJPLPP_01963;3263.66676255651;-3.74584745165996;0.0742884377577987;-50.42302092652;0;0;;Deoxyguanosine kinase;Down in serum
AENJPLPP_01981;1449.42893634002;4.21333315069024;0.100472804085926;41.9350608258823;0;0;yvbW;putative amino acid permease YvbW;Up in serum
AENJPLPP_02031;2566.16056783177;5.01583346468253;0.100596827522784;49.8607519560843;0;0;;hypothetical protein;Up in serum
AENJPLPP_02092;2624.9537947485;-3.10978285336203;0.0798565465032698;-38.9421154499174;0;0;dauA;C4-dicarboxylic acid transporter DauA;Down in serum
AENJPLPP_02094;37476.1562826247;-2.44926097635035;0.0600357441641912;-40.7967121995172;0;0;rplU;50S ribosomal protein L21;Down in serum
AENJPLPP_02131;7933.03559736804;-2.22077188800604;0.0555219111255617;-39.998116833259;0;0;ileS;Isoleucine--tRNA ligase;Down in serum
AENJPLPP_02139;1637.36019432194;5.51557999925793;0.133583146666171;41.2894900061125;0;0;ptcB_1;PTS system galactose-specific EIIB component;Up in serum
AENJPLPP_02155;1126.63027770417;4.33400588414393;0.10695289167;40.5225685483696;0;0;;hypothetical protein;Up in serum
AENJPLPP_02290;2251.54894656323;5.57773144729774;0.108445683625217;51.4334112787199;0;0;;hypothetical protein;Up in serum
AENJPLPP_02292;74988.9104641522;7.32372521223499;0.0862392033642535;84.923386656314;0;0;dppE;Dipeptide-binding protein DppE;Up in serum
AENJPLPP_02294;6842.21959151556;7.14938688928579;0.105210090439738;67.9534335480947;0;0;oppB;Oligopeptide transport system permease protein OppB;Up in serum
AENJPLPP_02295;5921.03746576774;6.64902418128622;0.0995096541259386;66.817880533192;0;0;dppC;Dipeptide transport system permease protein DppC;Up in serum
AENJPLPP_02296;11942.9449202849;6.40869268981297;0.0789452122537779;81.1789911870974;0;0;oppD_2;Oligopeptide transport ATP-binding protein OppD;Up in serum
AENJPLPP_02297;10271.1090264111;6.41039325619557;0.0843883158729735;75.963042867746;0;0;oppF_2;Oligopeptide transport ATP-binding protein OppF;Up in serum
AENJPLPP_02298;14262.2568359167;6.41974619717479;0.0803045306126045;79.9425156737939;0;0;;IS200/IS605 family transposase ISEfa4;Up in serum
AENJPLPP_02307;9863.05581252789;5.65918364541661;0.0927506354531289;61.0150390643571;0;0;niaX;Niacin transporter NiaX;Up in serum
AENJPLPP_02310;92911.0598393522;3.8729406784951;0.0668472347329671;57.9371860925323;0;0;folT_2;Folate transporter FolT;Up in serum
AENJPLPP_02354;6299.32051500916;2.46150631905549;0.0629565886264954;39.0984704342694;0;0;;hypothetical protein;Up in serum
AENJPLPP_02363;6847.8270360034;2.65977322253561;0.0630873554123517;42.1601635565605;0;0;pepC;Aminopeptidase C;Up in serum
AENJPLPP_02528;25144.9053401765;2.45215274861405;0.0589676619211933;41.5847036955815;0;0;hpf;Ribosome hibernation promotion factor;Up in serum
AENJPLPP_02581;1555.59259980237;-3.27436580833681;0.0812528776114798;-40.2984596310986;0;0;glyQ;Glycine--tRNA ligase alpha subunit;Down in serum
AENJPLPP_02751;1748.81821778712;4.43924293302196;0.112151649125354;39.5825025101516;0;0;;hypothetical protein;Up in serum
AENJPLPP_02832;2347.45605706153;-5.29470346859364;0.113850527066705;-46.5057440225243;0;0;;hypothetical protein;Down in serum
AENJPLPP_02833;4533.45265809009;-2.90642184060819;0.0638666265998134;-45.50767741061;0;0;scrB_1;Sucrose-6-phosphate hydrolase;Down in serum
AENJPLPP_02926;1594.4960184824;4.36170972814651;0.101766376466792;42.8600278361076;0;0;hsdS;Type-1 restriction enzyme EcoKI specificity protein;Up in serum
AENJPLPP_02927;5911.72819527402;4.48317053060124;0.0770305556572517;58.1998986291772;0;0;;hypothetical protein;Up in serum
AENJPLPP_02928;19302.5680434215;5.35059403821799;0.0671277758991249;79.7076019062288;0;0;ohrB_2;Organic hydroperoxide resistance protein OhrB;Up in serum
AENJPLPP_02941;8885.0063121666;3.0730533448092;0.0598819503238631;51.3185246670995;0;0;bglF_5;PTS system beta-glucoside-specific EIIBCA component;Up in serum
AENJPLPP_03059;87966.3622591473;2.67818595310694;0.0651872185611408;41.084525651221;0;0;;hypothetical protein;Up in serum
AENJPLPP_03060;19994.793783511;2.70565530120496;0.054918537025224;49.2667038811003;0;0;;hypothetical protein;Up in serum
AENJPLPP_03133;2894.00516422969;2.98294865059706;0.0746371104950895;39.9660253566932;0;0;yoeB;Toxin YoeB;Up in serum
AENJPLPP_01021;110129.982494151;-2.89654161986738;0.0754909891721363;-38.369369001943;4.24896455423472e-322;8.08785462242121e-321;rplJ;50S ribosomal protein L10;Down in serum
AENJPLPP_00930;932.672523981939;4.6991309700447;0.122863758484569;38.2466809415965;4.72326757424232e-320;8.9312740864368e-319;;hypothetical protein;Up in serum
AENJPLPP_02048;4280.38645468455;-2.3370483333947;0.061167767798507;-38.2071868486876;2.13950187275093e-319;4.01950070568021e-318;pyrG;CTP synthase;Down in serum
AENJPLPP_00382;3773.79306366677;-2.51136032888259;0.0659341260316587;-38.0889302707485;1.95378160834792e-317;3.64705900224945e-316;murJ_1;Lipid II flippase MurJ;Down in serum
AENJPLPP_01477;6221.47789775137;-2.59613055131194;0.0681747751380721;-38.0805150593321;2.69252239584783e-317;4.99402878912263e-316;rpsJ;30S ribosomal protein S10;Down in serum
AENJPLPP_00044;3383.16802783632;2.32901979408647;0.0612646862893317;38.0156977069519;3.1764748143581e-316;5.85436370711196e-315;;hypothetical protein;Up in serum
AENJPLPP_00309;932.78447394497;4.33809442338336;0.114394103821408;37.9223603181155;1.10184574606188e-314;2.01797158018718e-313;yidA_1;Sugar phosphatase YidA;Up in serum
AENJPLPP_01655;7075.48563633464;-2.1123144668608;0.0559552634731251;-37.750058452952;7.50533080521358e-312;1.36597020654885e-310;rpmI;50S ribosomal protein L35;Down in serum
AENJPLPP_01727;2398.36846022694;-2.71304526277643;0.0719180602805103;-37.7241161982738;1.99910596765765e-311;3.6157742719373e-310;pbuG;Guanine/hypoxanthine permease PbuG;Down in serum
AENJPLPP_00125;33980.7097087451;-2.18355309515209;0.0579850892002347;-37.6571481611734;2.4991655979612e-310;4.49232729707594e-309;tsf;Elongation factor Ts;Down in serum
AENJPLPP_01436;6451.35622735809;-2.06721549943138;0.0549267049118279;-37.635891371052;5.56649132856331e-310;9.94455383360514e-309;ybiT_3;putative ABC transporter ATP-binding protein YbiT;Down in serum
AENJPLPP_00532;1065.01943658261;3.52774868204823;0.094342423434042;37.3930258905698;5.07261443432143e-306;9.00698367850245e-305;;hypothetical protein;Up in serum
AENJPLPP_01610;17432.1141178109;-1.92465521766447;0.0515443943937035;-37.3397580920958;3.71775583747108e-305;6.56127575679745e-304;cshA;ATP-dependent RNA helicase CshA;Down in serum
AENJPLPP_02032;911.18414892108;4.72727476726945;0.126696238913945;37.3118792459207;1.05325115406853e-304;1.84763094014913e-303;;putative phosphotransferase enzyme IIB component;Up in serum
AENJPLPP_01656;12537.0252762288;-2.28527396948036;0.0612883576537985;-37.2872443799075;2.64166906535744e-304;4.60631156785681e-303;rplT;50S ribosomal protein L20;Down in serum
AENJPLPP_01551;9683.35165940667;-2.29663680006743;0.0616546251181452;-37.2500326725938;1.05828804945576e-303;1.83436595238998e-302;gla;Glycerol facilitator-aquaporin gla;Down in serum
AENJPLPP_01820;1013.62804865761;3.6882945873594;0.0990164861568165;37.2492978746801;1.08767591208352e-303;1.87414926389776e-302;bsaA;Glutathione peroxidase BsaA;Up in serum
AENJPLPP_01497;26266.1151241135;-2.78569357897664;0.0747888976987492;-37.247421270968;1.16648382656641e-303;1.99811817821258e-302;rplO;50S ribosomal protein L15;Down in serum
