gene_id;baseMean;log2FoldChange;lfcSE;stat;pvalue;padj;gene_name;product;significance
AENJPLPP_02926;1594.4960184824;4.36170972814651;0.101766376466792;42.8600278361076;0;0;hsdS;Type-1 restriction enzyme EcoKI specificity protein;Up in serum
AENJPLPP_02927;5911.72819527402;4.48317053060124;0.0770305556572517;58.1998986291772;0;0;;hypothetical protein;Up in serum
AENJPLPP_02928;19302.5680434215;5.35059403821799;0.0671277758991249;79.7076019062288;0;0;ohrB_2;Organic hydroperoxide resistance protein OhrB;Up in serum
AENJPLPP_02941;8885.0063121666;3.0730533448092;0.0598819503238631;51.3185246670995;0;0;bglF_5;PTS system beta-glucoside-specific EIIBCA component;Up in serum
AENJPLPP_03059;87966.3622591473;2.67818595310694;0.0651872185611408;41.084525651221;0;0;;hypothetical protein;Up in serum
AENJPLPP_03060;19994.793783511;2.70565530120496;0.054918537025224;49.2667038811003;0;0;;hypothetical protein;Up in serum
AENJPLPP_03133;2894.00516422969;2.98294865059706;0.0746371104950895;39.9660253566932;0;0;yoeB;Toxin YoeB;Up in serum
AENJPLPP_01021;110129.982494151;-2.89654161986738;0.0754909891721363;-38.369369001943;4.24896455423472e-322;8.08785462242121e-321;rplJ;50S ribosomal protein L10;Down in serum
AENJPLPP_00930;932.672523981939;4.6991309700447;0.122863758484569;38.2466809415965;4.72326757424232e-320;8.9312740864368e-319;;hypothetical protein;Up in serum
AENJPLPP_02048;4280.38645468455;-2.3370483333947;0.061167767798507;-38.2071868486876;2.13950187275093e-319;4.01950070568021e-318;pyrG;CTP synthase;Down in serum
AENJPLPP_00382;3773.79306366677;-2.51136032888259;0.0659341260316587;-38.0889302707485;1.95378160834792e-317;3.64705900224945e-316;murJ_1;Lipid II flippase MurJ;Down in serum
AENJPLPP_01477;6221.47789775137;-2.59613055131194;0.0681747751380721;-38.0805150593321;2.69252239584783e-317;4.99402878912263e-316;rpsJ;30S ribosomal protein S10;Down in serum
AENJPLPP_00044;3383.16802783632;2.32901979408647;0.0612646862893317;38.0156977069519;3.1764748143581e-316;5.85436370711196e-315;;hypothetical protein;Up in serum
AENJPLPP_00309;932.78447394497;4.33809442338336;0.114394103821408;37.9223603181155;1.10184574606188e-314;2.01797158018718e-313;yidA_1;Sugar phosphatase YidA;Up in serum
AENJPLPP_01655;7075.48563633464;-2.1123144668608;0.0559552634731251;-37.750058452952;7.50533080521358e-312;1.36597020654885e-310;rpmI;50S ribosomal protein L35;Down in serum
AENJPLPP_01727;2398.36846022694;-2.71304526277643;0.0719180602805103;-37.7241161982738;1.99910596765765e-311;3.6157742719373e-310;pbuG;Guanine/hypoxanthine permease PbuG;Down in serum
AENJPLPP_00125;33980.7097087451;-2.18355309515209;0.0579850892002347;-37.6571481611734;2.4991655979612e-310;4.49232729707594e-309;tsf;Elongation factor Ts;Down in serum
AENJPLPP_01436;6451.35622735809;-2.06721549943138;0.0549267049118279;-37.635891371052;5.56649132856331e-310;9.94455383360514e-309;ybiT_3;putative ABC transporter ATP-binding protein YbiT;Down in serum
AENJPLPP_00532;1065.01943658261;3.52774868204823;0.094342423434042;37.3930258905698;5.07261443432143e-306;9.00698367850245e-305;;hypothetical protein;Up in serum
AENJPLPP_01610;17432.1141178109;-1.92465521766447;0.0515443943937035;-37.3397580920958;3.71775583747108e-305;6.56127575679745e-304;cshA;ATP-dependent RNA helicase CshA;Down in serum
AENJPLPP_02032;911.18414892108;4.72727476726945;0.126696238913945;37.3118792459207;1.05325115406853e-304;1.84763094014913e-303;;putative phosphotransferase enzyme IIB component;Up in serum
AENJPLPP_01656;12537.0252762288;-2.28527396948036;0.0612883576537985;-37.2872443799075;2.64166906535744e-304;4.60631156785681e-303;rplT;50S ribosomal protein L20;Down in serum
AENJPLPP_01551;9683.35165940667;-2.29663680006743;0.0616546251181452;-37.2500326725938;1.05828804945576e-303;1.83436595238998e-302;gla;Glycerol facilitator-aquaporin gla;Down in serum
AENJPLPP_01820;1013.62804865761;3.6882945873594;0.0990164861568165;37.2492978746801;1.08767591208352e-303;1.87414926389776e-302;bsaA;Glutathione peroxidase BsaA;Up in serum
AENJPLPP_01497;26266.1151241135;-2.78569357897664;0.0747888976987492;-37.247421270968;1.16648382656641e-303;1.99811817821258e-302;rplO;50S ribosomal protein L15;Down in serum
AENJPLPP_00588;3609.05198302727;9.36212985996471;0.251893833170641;37.1669672977762;2.33271931993351e-302;3.97244366061191e-301;purS;Phosphoribosylformylglycinamidine synthase subunit PurS;Up in serum
AENJPLPP_00383;2289.16957197272;-2.72990064806223;0.0739795807993751;-36.9007315067847;4.49789299909782e-298;7.61503744963539e-297;degV;Protein DegV;Down in serum
AENJPLPP_01861;5628.51930923311;3.16174351984761;0.0857732373630796;36.8616554189729;1.90266338576491e-297;3.20263339846672e-296;ohrB_1;Organic hydroperoxide resistance protein OhrB;Up in serum
AENJPLPP_01474;35148.4583821251;-2.03562278990757;0.0552324296628265;-36.8555720314007;2.38129563429834e-297;3.98524878567631e-296;rpsG;30S ribosomal protein S7;Down in serum
AENJPLPP_00715;6789.08897579223;2.38273816037982;0.0646933213221504;36.8312850798711;5.83058601908778e-297;9.70209513576207e-296;yvgN;Glyoxal reductase;Up in serum
AENJPLPP_00974;983.08030250709;4.96174626553837;0.13476080990865;36.8189109942407;9.19932359454229e-297;1.52206990382427e-295;;hypothetical protein;Up in serum
AENJPLPP_00140;2356.74940879562;2.58647005113128;0.0705690889975645;36.6516004085095;4.3150961515344e-294;7.09918643687468e-293;xpkA_1;Xylulose-5-phosphate phosphoketolase;Up in serum
AENJPLPP_01481;32148.4306483195;-2.22013657524733;0.0607267405130197;-36.5594556284696;1.26171416364655e-292;2.0641076654712e-291;rplB;50S ribosomal protein L2;Down in serum
AENJPLPP_00362;4155.87723835108;-2.36797376043603;0.0648674918478916;-36.5047837210774;9.31146295439853e-292;1.51480335883847e-290;cfa;Cyclopropane-fatty-acyl-phospholipid synthase;Down in serum
AENJPLPP_01971;3037.15290636026;2.49781749437247;0.0684321123927135;36.5006633148801;1.08239900944714e-291;1.75108106417226e-290;ndk;Nucleoside diphosphate kinase;Up in serum
AENJPLPP_00022;4045.00929885594;3.34070020233717;0.0921516136537706;36.2522159936206;9.16941263706064e-288;1.47521158006191e-286;;hypothetical protein;Up in serum
AENJPLPP_01056;15957.3602819772;2.18119001686395;0.0605036282344017;36.0505655696156;1.35127094945326e-284;2.16203351912521e-283;spxA_3;Regulatory protein Spx;Up in serum
AENJPLPP_00997;2211.21763237484;-2.67579043535792;0.0744111967585615;-35.9595135129991;3.59418903373951e-283;5.71927785040954e-282;;hypothetical protein;Down in serum
AENJPLPP_02049;119385.182788663;-2.25198505684856;0.0631143261599463;-35.6810441284204;7.78027005892761e-279;1.23131230497811e-277;fba;Fructose-bisphosphate aldolase;Down in serum
AENJPLPP_01778;915.551937045266;-4.36609978711966;0.122625249324721;-35.6052265839467;1.16290322407461e-277;1.83047253432717e-276;emrB;Multidrug export protein EmrB;Down in serum
AENJPLPP_00244;6939.85727167495;2.52299543362936;0.0708764753618636;35.5970781666;1.5546356761284e-277;2.4339242413365e-276;;hypothetical protein;Up in serum
AENJPLPP_02555;1951.04613080239;-2.68587795486523;0.0755224189552134;-35.5639820866705;5.05180702254431e-277;7.86677114954494e-276;nfo;putative endonuclease 4;Down in serum
AENJPLPP_01492;19707.4900725358;-2.73027510924759;0.076877155883448;-35.5147778019638;2.9073237907893e-276;4.50325897807364e-275;rpsH;30S ribosomal protein S8;Down in serum
AENJPLPP_00968;862.49173332569;4.41759754327014;0.125302824911462;35.2553707100505;2.8387141356302e-272;4.37372252008209e-271;;hypothetical protein;Up in serum
AENJPLPP_00202;2989.64900876971;-2.34629064446652;0.0665869212166545;-35.2365089359271;5.52170354298668e-272;8.46273721956696e-271;;putative RNA methyltransferase;Down in serum
AENJPLPP_00584;23014.7344211963;8.38808717762453;0.238182397872183;35.217074194231;1.09557106209159e-271;1.67031567162864e-270;purM;Phosphoribosylformylglycinamidine cyclo-ligase;Up in serum
AENJPLPP_00230;19772.7193183875;-1.85275619664748;0.0528012662718169;-35.0892379570905;9.83717465585968e-270;1.49197148947205e-268;tcyP;L-cystine uptake protein TcyP;Down in serum
AENJPLPP_01595;6245.95917761512;2.1941451833157;0.0625526934882983;35.0767498721083;1.52509734391375e-269;2.30107951579111e-268;ctc;General stress protein CTC;Up in serum
AENJPLPP_02095;13160.3463203029;-2.17840013085999;0.0623786873410883;-34.9221861458616;3.42446496831828e-267;5.14022782873342e-266;;hypothetical protein;Down in serum
AENJPLPP_01515;765.224391717975;5.24066665139436;0.150308889222057;34.865979507387;2.43816911525157e-266;3.64099921210901e-265;;hypothetical protein;Up in serum
AENJPLPP_00154;3984.9267178118;-2.1754871841387;0.0624508802682073;-34.8351724554666;7.14043304123177e-266;1.06086433755443e-264;hrcA;Heat-inducible transcription repressor HrcA;Down in serum
AENJPLPP_02328;9748.91088318136;2.8545387765923;0.082022948337662;34.8017089661431;2.29170104636561e-265;3.38752966853637e-264;;hypothetical protein;Up in serum
AENJPLPP_00190;764.050352179095;5.1803164900424;0.149773741085448;34.5876149750906;3.8791588585349e-262;5.70510636164325e-261;;hypothetical protein;Up in serum
AENJPLPP_00545;2897.37379626542;-2.31936530228368;0.0671531201513152;-34.5384592265778;2.12426326292858e-261;3.10846965911961e-260;zosA;Zinc-transporting ATPase;Down in serum
AENJPLPP_02618;6657.59683767086;2.69940320533494;0.0783417941637767;34.4567447573607;3.56854490290781e-260;5.19580137863377e-259;;hypothetical protein;Up in serum
AENJPLPP_00314;9828.67874399902;7.27885132833456;0.211263611031724;34.4538810672963;3.93893441413892e-260;5.70655572834454e-259;yghA;putative oxidoreductase YghA;Up in serum
AENJPLPP_02992;4244.49884949439;2.60189832974256;0.0756368757489059;34.3998651977663;2.53321436103637e-259;3.65184169274154e-258;pemK;Endoribonuclease PemK;Up in serum
AENJPLPP_00426;1630.60046577815;2.56791947547199;0.0749656390506331;34.254619956452;3.72255957740019e-257;5.3399475317189e-256;;hypothetical protein;Up in serum
AENJPLPP_00525;2884.57537544476;2.67327734456471;0.0782453033491856;34.1653393895691;7.91467093175828e-256;1.12978047810197e-254;;hypothetical protein;Up in serum
AENJPLPP_00895;3076.27300415649;-2.11517300619671;0.0625412189038917;-33.8204634202468;9.86758956102824e-251;1.40167906349826e-249;btuD_1;Vitamin B12 import ATP-binding protein BtuD;Down in serum
AENJPLPP_01381;6595.50609037684;-1.93612328417229;0.0572501428950809;-33.8186629109471;1.0487679516896e-250;1.48253023073792e-249;;hypothetical protein;Down in serum
AENJPLPP_00825;1329.39924331893;-2.78250746252024;0.0826888950307814;-33.6503161819304;3.08489772049159e-248;4.33972085124228e-247;;RNA-binding protein;Down in serum
AENJPLPP_01079;8172.69311723519;2.35651647212054;0.0700561700199674;33.6375293061109;4.74503382959704e-248;6.64304736143586e-247;;Putative universal stress protein;Up in serum
AENJPLPP_00981;925.293694047935;6.1010372664883;0.181922187897654;33.5365209543359;1.41552499176023e-246;1.97225300287359e-245;;hypothetical protein;Up in serum
AENJPLPP_01559;29142.1866352197;-2.29001323298255;0.0683269433783217;-33.5155228634025;2.86368183139046e-246;3.9709721395281e-245;rpsD;30S ribosomal protein S4;Down in serum
AENJPLPP_02834;1483.68223434571;-2.84698363918407;0.0851584323416144;-33.43161165489;4.76278640542946e-245;6.57309668844103e-244;degA_4;HTH-type transcriptional regulator DegA;Down in serum
AENJPLPP_00487;4090.70130731684;-2.31625120363967;0.069361049525248;-33.3941198914029;1.66875046005433e-244;2.29217044324443e-243;apt;Adenine phosphoribosyltransferase;Down in serum
AENJPLPP_02582;7383.37531595747;-2.03631980104419;0.0610255058865391;-33.3683395403585;3.94885577646109e-244;5.39862348406324e-243;glyS;Glycine--tRNA ligase beta subunit;Down in serum
AENJPLPP_00590;1155.05867088792;2.96994742902356;0.0892123969109606;33.2907480558756;5.25538563037884e-243;7.15125371759962e-242;;hypothetical protein;Up in serum
AENJPLPP_00894;4283.27707724423;-2.05606167522668;0.0618449766756325;-33.245411119005;2.37809902787317e-242;3.22094156705427e-241;;hypothetical protein;Down in serum
AENJPLPP_01827;1963.70800145383;2.83331186553087;0.0852928512101414;33.2186323394238;5.79513507546658e-242;7.81270062025865e-241;dapA;4-hydroxy-tetrahydrodipicolinate synthase;Up in serum
AENJPLPP_00824;6666.50696264809;-2.65707921822651;0.0800530073675614;-33.1914978037814;1.42796937729861e-241;1.91624277727813e-240;nadD;Nicotinate-nucleotide adenylyltransferase;Down in serum
AENJPLPP_01479;18074.0261153931;-2.18022010552314;0.0657565104430814;-33.1559581071493;4.64739584493769e-241;6.20789756901769e-240;rplD;50S ribosomal protein L4;Down in serum
AENJPLPP_02747;1452.05930458511;-2.72340472506145;0.0822132920365126;-33.1260877359337;1.25176714734909e-240;1.66445019775367e-239;alsS_1;Acetolactate synthase;Down in serum
AENJPLPP_00800;13507.6073876265;-1.97946505443143;0.0598212866644637;-33.0896435834657;4.18808314426709e-240;5.54349914368444e-239;;hypothetical protein;Down in serum
AENJPLPP_02610;1575.2199404245;3.03179124945488;0.0917522184789797;33.0432473428363;1.94491326082258e-239;2.56270923778975e-238;acyP;Acylphosphatase;Up in serum
AENJPLPP_01886;6104.30579153489;-2.43752193691973;0.0739859652189273;-32.9457340957438;4.86945611845875e-238;6.38732262024859e-237;glcU_2;putative glucose uptake protein GlcU;Down in serum
AENJPLPP_01980;1984.63208024775;2.46778762638408;0.0749378885261476;32.9311070130167;7.88702111774001e-238;1.02991056030757e-236;;hypothetical protein;Up in serum
AENJPLPP_01162;2916.92004822904;-2.22639903870763;0.0676921327572959;-32.8900707958217;3.04775148782716e-237;3.96207693417531e-236;;putative ABC transporter ATP-binding protein;Down in serum
AENJPLPP_00155;3911.8172091675;-2.14369903488715;0.0653469536397485;-32.8048809544383;5.01623163644457e-236;6.4921184557007e-235;grpE;Protein GrpE;Down in serum
